player,date,time,id,item,itemID,itemString,response,votes,class,instance,boss,difficultyID,mapID,groupSize,gear1,gear2,responseID,isAwardReason,subType,equipLoc,note,owner,Icon URL
Timmyneutron-Nightslayer,2025-06-27,20:16:00,1751077021-17,[Draconic Maul],19358,item:19358::::::::60,Offspec,0,DRUID,Blackwing Lair-40 Player,Nefarian,9,469,40,|cff0070dd|Hitem:22713::::::::60:::::::::|h[Zulian Scepter of Rites]|h|r,|cffa335ee|Hitem:19312::::::::60:::::::::|h[Lei of the Lifegiver]|h|r,3,False,Two-Handed Maces,Two-Hand,,Blonde-Nightslayer,
Timmyneutron-Nightslayer,2025-07-18,20:04:00,1752890713-2,[Stormrage Boots],16898,item:16898::::::::60,Upgrade,0,DRUID,Blackwing Lair-40 Player,Ebonroc,9,469,40,|cffa335ee|Hitem:19437::::::::60:::::::::|h[Boots of Pure Thought]|h|r,,2,False,Leather,Feet,,Blonde-Nightslayer,
Grimmclaws-Nightslayer,2025-06-02,19:24:00,1748913962-1,[Stormrage Cover],16900,item:16900::::::::60,Offspec,0,DRUID,Onyxia's Lair-40 Player,Onyxia,9,249,40,|cff0070dd|Hitem:8345::::::::60:::::::::|h[Wolfshead Helm]|h|r,,3,False,Leather,Head,,Blonde-Nightslayer,
Bearyblast-Nightslayer,2025-07-18,20:33:00,1752892451-15,[Boots of the Shadow Flame],19381,item:19381::::::::60,BiS,0,DRUID,Blackwing Lair-40 Player,Nefarian,9,469,40,|cffa335ee|Hitem:16554:911:::::::60:::::::::|h[General's Dragonhide Boots]|h|r,,1,False,Leather,Feet,Huge BIS,Blonde-Nightslayer,
Bearyblast-Nightslayer,2025-07-19,19:54:00,1752976419-8,[Dragon's Blood Cape],17107,item:17107::::::::60,Offspec,0,DRUID,Kalimdor-,Ragnaros,0,1,0,|cff0070dd|Hitem:19907:849:::::::60:::::::::|h[Zulian Tigerhide Cloak]|h|r,,3,False,Cloth,Back,i think best bear cape atm,Blonde-Nightslayer,
Bearyblast-Nightslayer,2025-07-25,20:45:00,1753497920-1,[Guise of the Devourer],21693,item:21693::::::::60,Offspec,0,DRUID,Ahn'Qiraj Temple-40 Player,Twin Emperors,9,531,40,|cffa335ee|Hitem:16550:2543:::::::60:::::::::|h[Warlord's Dragonhide Helmet]|h|r,,3,False,Leather,Head,im not sure this might be good,Blonde-Nightslayer,
Bearyblast-Nightslayer,2025-07-25,20:48:00,1753498080-6,[Cloak of the Golden Hive],21621,item:21621::::::::60,BiS,0,DRUID,Ahn'Qiraj Temple-40 Player,Twin Emperors,9,531,40,|cffa335ee|Hitem:17107::::::::60:::::::::|h[Dragon's Blood Cape]|h|r,,1,False,Cloth,Back,BIS feral unless i get DFT,Blonde-Nightslayer,
Bearyblast-Nightslayer,2025-07-25,21:41:00,1753501280-14,[Qiraji Execution Bracers],21602,item:21602::::::::60,BiS,0,DRUID,Ahn'Qiraj Temple-40 Player,Twin Emperors,9,531,40,|cff0070dd|Hitem:12966:1885:::::::60:::::::::|h[Blackmist Armguards]|h|r,,1,False,Leather,Wrist,humongous bis,Blonde-Nightslayer,
Murkmode-Nightslayer,2025-04-11,22:25:00,1744431996-13,[Elementium Threaded Cloak],19386,item:19386::::::::60,Pass,3,DRUID,Blackwing Lair-40 Player,Nefarian,9,469,40,|cff0070dd|Hitem:15138:2463:::::::60:::::::::|h[Onyxia Scale Cloak]|h|r,,PASS,False,Cloth,Back,,Blonde-Nightslayer,
Murkmode-Nightslayer,2025-04-18,21:22:00,1745033007-8,[Stormrage Belt],16903,item:16903::::::::60,Offspec,0,DRUID,Blackwing Lair-40 Player,Nefarian,9,469,40,|cff0070dd|Hitem:19089::::::::60:::::::::|h[Frostwolf Leather Belt]|h|r,,3,False,Leather,Waist,,Blonde-Nightslayer,
Murkmode-Nightslayer,2025-04-25,20:30:00,1745634720-5,[Malfurion's Blessed Bulwark],19405,item:19405::::::::60,BiS,1,DRUID,Blackwing Lair-40 Player,Nefarian,9,469,40,|cffa335ee|Hitem:16549:1891:::::::60:::::::::|h[Warlord's Dragonhide Hauberk]|h|r,,1,False,Leather,Chest,,Blonde-Nightslayer,
Murkmode-Nightslayer,2025-04-25,20:40:00,1745635291-19,[Rune of Metamorphosis],19340,item:19340::::::::60,Offspec,0,DRUID,Blackwing Lair-40 Player,Nefarian,9,469,40,|cff0070dd|Hitem:11815::::::::60:::::::::|h[Hand of Justice]|h|r,|cff1eff00|Hitem:19120::::::::60:::::::::|h[Rune of the Guard Captain]|h|r,3,False,Miscellaneous,Trinket,,Blonde-Nightslayer,
Murkmode-Nightslayer,2025-05-02,21:37:00,1746243491-10,[Taut Dragonhide Belt],19396,item:19396::::::::60,BiS,1,DRUID,Blackwing Lair-40 Player,Nefarian,9,469,40,|cff0070dd|Hitem:19089::::::::60:::::::::|h[Frostwolf Leather Belt]|h|r,,1,False,Leather,Waist,,Blonde-Nightslayer,
Murkmode-Nightslayer,2025-05-09,20:51:00,1746845505-2,[Stormrage Boots],16898,item:16898::::::::60,Offspec,1,DRUID,Blackwing Lair-40 Player,Nefarian,9,469,40,|cffa335ee|Hitem:16554:911:::::::60:::::::::|h[General's Dragonhide Boots]|h|r,,3,False,Leather,Feet,,Blonde-Nightslayer,
Murkmode-Nightslayer,2025-05-30,20:25:00,1748658391-5,[Stormrage Handguards],16899,item:16899::::::::60,Offspec,0,DRUID,Blackwing Lair-40 Player,Nefarian,9,469,40,|cff0070dd|Hitem:15063:1887:::::::60:::::::::|h[Devilsaur Gauntlets]|h|r,,3,False,Leather,Hands,,Blonde-Nightslayer,
Murkmode-Nightslayer,2025-05-30,20:27:00,1748658469-7,[Boots of the Shadow Flame],19381,item:19381::::::::60,BiS,0,DRUID,Blackwing Lair-40 Player,Nefarian,9,469,40,|cffa335ee|Hitem:16554:911:::::::60:::::::::|h[General's Dragonhide Boots]|h|r,,1,False,Leather,Feet,,Blonde-Nightslayer,
Murkmode-Nightslayer,2025-05-30,20:32:00,1748658770-16,[Stormrage Pauldrons],16902,item:16902::::::::60,Offspec,0,DRUID,Blackwing Lair-40 Player,Nefarian,9,469,40,|cff0070dd|Hitem:12927::::::::60:::::::::|h[Truestrike Shoulders]|h|r,,3,False,Leather,Shoulder,,Blonde-Nightslayer,
Murkmode-Nightslayer,2025-06-06,20:19:00,1749262859-5,[Stormrage Chestguard],16897,item:16897::::::::60,Offspec,0,DRUID,Blackwing Lair-40 Player,Nefarian,9,469,40,|cffa335ee|Hitem:16549:1891:::::::60:::::::::|h[Warlord's Dragonhide Hauberk]|h|r,,3,False,Leather,Chest,,Blonde-Nightslayer,
Moneytree-Nightslayer,2025-03-21,21:43:00,1742614962-4,[Stormrage Belt],16903,item:16903::::::::60,Minor Upgrade,4,DRUID,Blackwing Lair-40 Player,Broodlord Lashlayer,9,469,40,|cffa335ee|Hitem:14553::::::::60:::::::::|h[Sash of Mercy]|h|r,,3,False,Leather,Waist,Might use for 8pc later,Blonde-Nightslayer,
Moneytree-Nightslayer,2025-04-04,22:40:00,1743828101-7,[Stormrage Chestguard],16897,item:16897::::::::60,BiS,5,DRUID,Blackwing Lair-40 Player,Nefarian,9,469,40,|cffa335ee|Hitem:16833::::::::60:::::::::|h[Cenarion Vestments]|h|r,,1,False,Leather,Chest,,Blonde-Nightslayer,
Moneytree-Nightslayer,2025-04-11,20:52:00,1744426438-5,[Boots of Pure Thought],19437,item:19437::::::::60,BiS,6,DRUID,Blackwing Lair-40 Player,Broodlord Lashlayer,9,469,40,|cffa335ee|Hitem:16829::::::::60:::::::::|h[Cenarion Boots]|h|r,,1,False,Cloth,Feet,,Blonde-Nightslayer,
Moneytree-Nightslayer,2025-04-11,22:25:00,1744431983-12,[Stormrage Pauldrons],16902,item:16902::::::::60,Upgrade,3,DRUID,Blackwing Lair-40 Player,Nefarian,9,469,40,|cffa335ee|Hitem:16836::::::::60:::::::::|h[Cenarion Spaulders]|h|r,,2,False,Leather,Shoulder,,Blonde-Nightslayer,
Moneytree-Nightslayer,2025-05-16,20:31:00,1747449183-3,[Stormrage Handguards],16899,item:16899::::::::60,BiS,1,DRUID,Blackwing Lair-40 Player,Nefarian,9,469,40,|cffa335ee|Hitem:16831::::::::60:::::::::|h[Cenarion Gloves]|h|r,,1,False,Leather,Hands,,Blonde-Nightslayer,
Moneytree-Nightslayer,2025-05-16,20:34:00,1747449343-10,[Stormrage Boots],16898,item:16898::::::::60,Offspec,0,DRUID,Blackwing Lair-40 Player,Nefarian,9,469,40,|cffa335ee|Hitem:19437:911:::::::60:::::::::|h[Boots of Pure Thought]|h|r,,3,False,Leather,Feet,collection for 8pc but give to murk if he wants for OS,Blonde-Nightslayer,
